Index,Metric,Value
1,Recall@1,0.4
2,Recall@3,0.5333333333333333
3,Recall@5,0.6
4,Recall@10,0.6333333333333333
5,Mean Rank,47.43333333333333
6,Normalised Similarity,0.9251038776038775
7,Margin of Discrimination,0.05922295297295296
8,Average Confidence,0.811778036778037
9,MRR,0.49608942658907906
