Similarity Method,Melody Extractor,Processed,Recall@1,Recall@3,Recall@5,Recall@10
Text,Modified,Unprocessed,1.0,1.0,1.0,1.0
Text,Skyline,Unprocessed,1.0,1.0,1.0,1.0
Time,Modified,Unprocessed,0.9473684210526312,0.973684210526315,0.973684210526315,1.0
Time,Skyline,Unprocessed,0.842105263157894,0.9473684210526312,0.973684210526315,0.973684210526315
Text,Skyline,Processed,0.5263157894736841,0.6578947368421051,0.684210526315789,0.684210526315789
Text,Modified,Processed,0.473684210526315,0.6052631578947361,0.631578947368421,0.6578947368421051
Time,Modified,Processed,0.052631578947368,0.078947368421052,0.157894736842105,0.236842105263157
Time,Skyline,Processed,0.052631578947368,0.157894736842105,0.210526315789473,0.236842105263157
