Index,Metric,Value
1,Recall@1,0.0
2,Recall@3,0.0
3,Recall@5,0.0
4,Recall@10,0.0
5,Mean Rank,322.76666666666665
6,Normalised Similarity,0.7076010101010102
7,Margin of Discrimination,0.0
8,Average Confidence,0.5202473452473453
9,MRR,0.006959604722755851
