Index,Metric,Value
1,Recall@1,0.5333333333333333
2,Recall@3,0.6666666666666666
3,Recall@5,0.7666666666666667
4,Recall@10,0.8
5,Mean Rank,12.533333333333333
6,Normalised Similarity,0.9602777777777779
7,Margin of Discrimination,0.058362332112332105
8,Average Confidence,0.8898821548821549
9,MRR,0.624672136398419
