Index,Query Length,Stride Length,Mean Rank
1,5.0,1.0,2.1
2,6.0,1.0,1.2666666666666666
3,7.0,1.0,1.0
4,8.0,1.0,1.0
5,9.0,1.0,1.0
6,10.0,1.0,1.0
7,11.0,1.0,1.0
8,12.0,1.0,1.0
9,13.0,1.0,1.0
