Index,Metric,Value
1,Recall@1,0.6333333333333333
2,Recall@3,0.7
3,Recall@5,0.7
4,Recall@10,0.8
5,Mean Rank,8.8
6,Normalised Similarity,0.9667965367965368
7,Margin of Discrimination,0.06299177674177675
8,Average Confidence,0.8763201613201613
9,MRR,0.6892429238668999
