Index,Metric,Value
1,Recall@1,1.0
2,Recall@3,1.0
3,Recall@5,1.0
4,Recall@10,1.0
5,Mean Rank,1.0
6,Normalised Similarity,1.0
7,Margin of Error,0.26282408335003005
8,Average Confidence,0.8921517351857908
9,MRR,1.0
