Similarity Method,Melody Extractor,Processed,recall1,recall3,recall5,recall10,mean_rank,norm_sim,margin,avg_confidence,mrr
Text,Modified,Unprocessed,1.0,1.0,1.0,1.0,1.0,1.0,0.285799738896554,0.977548031603759,1.0
Text,Skyline,Unprocessed,1.0,1.0,1.0,1.0,1.0,1.0,0.290935881663468,1.0,1.0
Time,Modified,Unprocessed,0.9473684210526311,0.973684210526315,0.973684210526315,1.0,1.184210526315789,0.9993012555899551,0.19103694724779302,0.776451875636583,0.9642857142857141
Time,Skyline,Unprocessed,0.842105263157894,0.9473684210526311,0.973684210526315,0.973684210526315,11.078947368421053,0.9864343235915901,0.20271618507225903,0.7840195143720831,0.9000699888017911
Text,Skyline,Processed,0.5263157894736841,0.6578947368421051,0.684210526315789,0.684210526315789,146.8421052631579,0.880408812983768,0.123667042433517,0.717501670903259,0.59264156989197
Text,Modified,Processed,0.47368421052631504,0.6052631578947361,0.631578947368421,0.6578947368421051,194.8421052631579,0.8478945838710381,0.10074876763710801,0.676934886445381,0.542669265326373
Time,Modified,Processed,0.052631578947368,0.078947368421052,0.157894736842105,0.23684210526315702,363.60526315789474,0.721013492104118,0.000374297317617,0.43190657814231803,0.102820987902281
Time,Skyline,Processed,0.052631578947368,0.157894736842105,0.210526315789473,0.23684210526315702,329.0263157894737,0.7535655106422401,0.000265978986019,0.431845935807369,0.13353855096369302
