Index,Metric,Value
1,Recall@1,0.0
2,Recall@3,0.0
3,Recall@5,0.03333333333333333
4,Recall@10,0.06666666666666667
5,Mean Rank,304.56666666666666
6,Normalised Similarity,0.7069300144300146
7,Margin of Discrimination,0.0
8,Average Confidence,0.5376704776704777
9,MRR,0.02218800481499037
