Index,Metric,Value
1,Recall@1,0.5
2,Recall@3,0.5666666666666667
3,Recall@5,0.6
4,Recall@10,0.7
5,Mean Rank,20.9
6,Normalised Similarity,0.9479173604173601
7,Margin of Discrimination,0.07582684954252458
8,Average Confidence,0.7512485362190211
9,MRR,0.5667104192104193
