Index,Metric,Value
1,Recall@1,0.4666666666666667
2,Recall@3,0.5666666666666667
3,Recall@5,0.6
4,Recall@10,0.6666666666666666
5,Mean Rank,29.8
6,Normalised Similarity,0.9380708570182255
7,Margin of Discrimination,0.042361200804876695
8,Average Confidence,0.6990011068787597
9,MRR,0.5317977645128712
