Index,Query Length,Stride Length,Margin of Error
1,13.0,1.0,0.1605217206055138
2,12.0,1.0,0.1419879621520152
3,11.0,1.0,0.1283571085776968
4,10.0,1.0,0.1109599148414937
5,9.0,1.0,0.0865325320104732
6,8.0,1.0,0.0669028656528656
7,7.0,1.0,0.0388251563251563
8,6.0,1.0,0.0254785954785954
9,5.0,1.0,0.0178703703703703
