Filename,Score
Data/MIDI/Collection/Original Collection/101.mid,0.27534883720930237
Data/MIDI/Collection/Original Collection/102.mid,0.198691255205235
Data/MIDI/Collection/Original Collection/103.mid,0.29831144465290804
Data/MIDI/Collection/Original Collection/104.mid,0.47058823529411764
Data/MIDI/Collection/Original Collection/105.mid,0.36624569460390355
Data/MIDI/Collection/Original Collection/106.mid,0.236328125
Data/MIDI/Collection/Original Collection/107.mid,0.4264264264264265
Data/MIDI/Collection/Original Collection/108.mid,0.3208333333333333
Data/MIDI/Collection/Original Collection/109.mid,0.36447733580018504
Data/MIDI/Collection/Original Collection/110.mid,0.35437881873727084
Data/MIDI/Collection/Original Collection/111.mid,0.27887617065556713
Data/MIDI/Collection/Original Collection/112.mid,0.31565329883570503
Data/MIDI/Collection/Original Collection/113.mid,0.2473429951690821
Data/MIDI/Collection/Original Collection/114.mid,0.3180760279286269
Data/MIDI/Collection/Original Collection/115.mid,0.2901234567901234
Data/MIDI/Collection/Original Collection/116.mid,0.29226736566186107
Data/MIDI/Collection/Original Collection/117.mid,0.35076530612244894
Data/MIDI/Collection/Original Collection/118.mid,0.44074074074074077
Data/MIDI/Collection/Original Collection/119.mid,0.3268839103869654
Data/MIDI/Collection/Original Collection/120.mid,0.36803652968036527
Data/MIDI/Collection/Original Collection/121.mid,0.37010309278350517
Data/MIDI/Collection/Original Collection/122.mid,0.3453525641025641
Data/MIDI/Collection/Original Collection/123.mid,0.346244131455399
Data/MIDI/Collection/Original Collection/124.mid,0.28517823639774864
Data/MIDI/Collection/Original Collection/125.mid,0.29855371900826444
Data/MIDI/Collection/Original Collection/126.mid,0.24498886414253895
Data/MIDI/Collection/Original Collection/127.mid,0.4593535749265426
Data/MIDI/Collection/Original Collection/128.mid,0.34515119916579773
Data/MIDI/Collection/Original Collection/129.mid,0.3575705731394354
Data/MIDI/Collection/Original Collection/130.mid,0.3100338218714769
Data/MIDI/Collection/Original Collection/131.mid,0.19849482596425216
Data/MIDI/Collection/Original Collection/132.mid,0.4117647058823529
Data/MIDI/Collection/Original Collection/133.mid,0.37001594896331735
