Index,Metric,Value
1,Recall@1,0.0
2,Recall@3,0.0
3,Recall@5,1.0
4,Recall@10,1.0
5,Mean Rank,4.5
6,Normalised Similarity,0.925
7,Margin of Discrimination,0.0
8,Average Confidence,0.5419047619047619
9,MRR,0.225
