Index,Metric,Value
1,Recall@1,0.6
2,Recall@3,0.9
3,Recall@5,0.9333333333333333
4,Recall@10,0.9666666666666667
5,Mean Rank,2.1
6,Normalised Similarity,1.0
7,Margin of Discrimination,0.054492544492544495
8,Average Confidence,1.0
9,MRR,0.759045584045584
